date,sale_dollars,sale_liters
2012-01-03,1012493.8099999902,73864.92999999989
2012-01-04,860053.7299999909,64712.609999999964
2012-01-05,940194.9299999921,64551.25000000001
2012-01-09,933835.4999999927,69316.69000000003
2012-01-10,900077.6099999965,68093.54999999996
2012-01-11,773739.7300000003,61226.9699999999
2012-01-12,927338.6599999962,69134.56999999999
2012-01-16,968646.5199999929,72041.68000000014
2012-01-17,921105.5599999912,72385.62000000002
2012-01-18,850387.4899999906,67285.90999999996
2012-01-19,1021175.8999999905,76553.93000000005
2012-01-23,985418.4099999964,73291.5400000001
2012-01-24,1013018.2899999935,80353.71000000002
2012-01-25,764709.3099999926,64383.19999999986
2012-01-26,1016554.7899999918,76317.67999999993
2012-01-27,796.3600000000001,72.8
2012-01-30,986696.5299999906,77676.35000000002
2012-01-31,1039951.0899999898,80819.5
2012-02-01,906994.659999996,71807.46999999996
2012-02-02,1218271.9999999867,86467.98000000004
2012-02-06,1165230.549999988,88957.92999999998
2012-02-07,1128346.519999988,86895.62000000016
2012-02-08,986933.9099999944,79262.89000000003
2012-02-09,1150050.089999986,80802.92000000019
2012-02-13,1039052.1499999955,79644.43000000018
2012-02-14,1016829.6799999941,78605.25999999994
2012-02-15,962829.3099999926,79938.6
2012-02-16,1132706.9999999895,82448.41000000009
2012-02-20,1135350.78999999,87629.54000000018
2012-02-21,1105654.3999999904,86186.33000000016
2012-02-22,998421.7199999961,77243.34
2012-02-23,1167089.7799999828,84006.45000000003
2012-02-27,1070445.6799999957,83217.68000000002
2012-02-28,1028812.8299999882,80964.35999999994
2012-02-29,903082.9999999945,72486.31999999995
2012-03-01,1104030.099999992,78973.48999999993
2012-03-05,1140722.7499999925,84453.68000000004
2012-03-06,1169223.9199999887,87380.46000000012
2012-03-07,835542.5299999932,62022.65999999999
2012-03-08,1222264.949999981,83497.48000000024
2012-03-09,2886.2400000000007,165.1
2012-03-12,1179680.4699999874,85625.51000000018
2012-03-13,1158657.8899999838,84858.91000000012
2012-03-14,977886.0599999966,72222.69000000003
2012-03-15,1250720.7699999847,90730.86000000019
2012-03-16,1050.84,41.1
2012-03-19,1030487.2799999937,78870.45000000004
2012-03-20,1102468.9899999867,84469.81000000006
2012-03-21,1046650.1099999931,84605.05000000003
2012-03-22,1066902.6699999853,77222.91000000005
2012-03-26,1001267.1899999923,76767.61000000009
2012-03-27,1022503.7699999916,80127.61000000009
2012-03-28,821053.9199999949,65251.15999999992
2012-03-29,1005545.2999999913,75586.45999999995
2012-04-02,1142873.4999999935,87234.20000000013
2012-04-03,1359746.0799999768,102255.02000000018
2012-04-04,1080255.919999996,83218.09999999993
2012-04-05,1330857.2799999772,98095.2200000001
2012-04-09,1169076.6399999873,85173.07000000007
2012-04-10,1269591.629999983,93401.51000000015
2012-04-11,1187375.8499999905,86541.45000000003
2012-04-12,1232872.5699999793,89192.78000000017
2012-04-16,1154192.3099999889,88330.4900000001
2012-04-17,1195865.2299999844,94540.72000000019
2012-04-18,1116240.859999994,88341.36000000002
2012-04-19,1182052.469999987,84511.4800000002
2012-04-23,1042705.8999999949,77892.6300000001
2012-04-24,1199155.289999986,90880.30000000003
2012-04-25,924659.8199999988,73970.52999999998
2012-04-26,1117871.8499999898,81819.19000000012
2012-04-27,36212.32,512.1999999999995
2012-04-30,1263291.4499999746,93656.53000000001
2012-05-01,1212779.9599999806,93188.44000000028
2012-05-02,1003063.7399999878,80056.55999999997
2012-05-03,1322831.9599999725,99484.3700000001
2012-05-07,1220915.1899999804,94544.00000000009
2012-05-08,1200461.6599999764,92505.67000000004
2012-05-09,970187.7099999902,78249.34000000008
2012-05-10,1211077.4499999813,89131.39000000029
2012-05-11,324.0,9.0
2012-05-14,1072931.4799999862,85459.29000000004
2012-05-15,1213046.76999998,97060.27000000008
2012-05-16,1057187.5999999885,82671.74999999991
2012-05-17,1225797.0799999845,91626.59000000035
2012-05-21,1177429.4899999816,90394.7100000002
2012-05-22,1418037.839999961,108861.6600000003
2012-05-23,1059972.5399999828,86171.18000000007
2012-05-24,1340162.9199999697,98853.49000000025
2012-05-25,872449.5499999967,68006.73
2012-05-29,1245606.7599999632,97120.61000000013
2012-05-30,1011376.0499999854,79829.68999999999
2012-05-31,1357881.4899999688,96207.90000000023
2012-06-01,1607.52,61.5
2012-06-04,1538532.059999977,110614.21000000028
2012-06-05,1292638.0799999791,96364.61000000012
2012-06-06,1311727.2799999812,96239.48000000004
2012-06-07,1218139.2699999823,89521.33000000023
2012-06-11,1440888.7899999747,101158.86000000016
2012-06-12,1315053.309999962,98684.00999999995
2012-06-13,1546636.709999978,108622.45000000011
2012-06-14,1217510.6099999794,87583.85000000014
2012-06-18,1316962.9999999856,97668.83000000009
2012-06-19,1410200.9099999748,104828.7400000002
2012-06-20,910995.3699999963,70848.32999999994
2012-06-21,1165311.4099999815,83397.93000000021
2012-06-22,5482.179999999999,346.0
2012-06-25,1404033.2199999723,106075.01000000015
2012-06-26,1850000.1099999424,141055.2500000004
2012-06-27,1379518.3699999694,109578.1600000001
2012-06-28,1508343.9799999513,113965.90000000031
2012-06-29,25320.890000000007,1411.4999999999995
2012-07-02,1231434.5599999723,92300.68000000012
2012-07-03,1171510.9599999816,90021.60000000014
2012-07-05,1026464.0199999908,78424.75
2012-07-06,1086736.0699999884,78677.20999999998
2012-07-09,1209038.7599999795,89022.29000000007
2012-07-10,1250884.6199999736,95620.7100000003
2012-07-11,926596.9099999972,73462.54999999993
2012-07-12,1091996.0899999859,78351.53000000013
2012-07-16,1239308.5199999807,93106.87000000007
2012-07-17,1230606.459999985,92056.85000000015
2012-07-18,1137970.7799999893,83669.88000000012
2012-07-19,1267423.149999972,90878.04000000014
2012-07-20,674.4,120.0
2012-07-23,1201978.8699999815,88753.70000000017
2012-07-24,1102184.9699999841,84284.59000000011
2012-07-25,958471.0899999888,77229.18000000002
2012-07-26,1030437.88999999,74367.59000000013
2012-07-27,3279.76,310.5
2012-07-30,1223242.959999985,89750.87000000001
2012-07-31,1307122.9399999678,98349.65000000021
2012-08-01,890090.3699999885,70737.11999999998
2012-08-02,1195254.929999972,88136.28000000025
2012-08-03,576.4200000000001,26.1
2012-08-06,1147834.8899999782,88439.44999999998
2012-08-07,1283068.4499999636,98753.42000000004
2012-08-08,981060.1599999891,76241.37999999992
2012-08-09,1176787.1199999785,82906.30000000015
2012-08-13,1195675.7499999742,89849.0500000001
2012-08-14,1127417.279999972,88892.80000000013
2012-08-15,954955.5199999873,76854.04000000001
2012-08-16,1166448.5599999768,83620.98000000017
2012-08-20,1085723.8899999824,82648.26999999997
2012-08-21,1159559.0399999744,89086.77000000008
2012-08-22,1013038.9199999869,81140.42000000006
2012-08-23,1135299.2899999858,80390.61000000012
2012-08-27,1166197.429999979,86171.37000000011
2012-08-28,1451140.2699999525,108777.31000000019
2012-08-29,1118281.9199999794,87025.17000000009
2012-08-30,1356271.5899999526,96231.95000000024
2012-08-31,926601.0399999894,70707.33
2012-09-04,1454309.2299999546,104177.44000000012
2012-09-05,1103036.949999978,80125.4600000001
2012-09-06,1486810.2699999479,103226.35000000021
2012-09-07,152.04,4.5
2012-09-10,1618074.2999999395,115761.77000000027
2012-09-11,1430524.5999999645,102174.24000000009
2012-09-12,1321205.099999978,96518.1200000001
2012-09-13,1232001.1799999743,84935.87000000018
2012-09-14,854.73,35.5
2012-09-17,1133464.7199999786,81769.31000000016
2012-09-18,1183565.6699999738,85175.4800000002
2012-09-19,872743.1099999938,65193.459999999905
2012-09-20,1115748.8499999843,77036.36000000016
2012-09-21,920.52,113.75
2012-09-24,1039466.7099999841,75477.5
2012-09-25,1125510.8599999843,83228.33000000015
2012-09-26,1023116.24999999,79830.41999999993
2012-09-27,1046948.0599999874,74112.66000000006
2012-10-01,1272966.4099999685,91303.05000000008
2012-10-02,1512145.2399999485,104785.1500000002
2012-10-03,1195072.169999979,88790.95000000014
2012-10-04,1453418.3999999547,99906.38000000028
2012-10-05,1954824.2299999788,159173.65
2012-10-08,1436466.049999964,104176.81999999999
2012-10-09,1474293.7399999558,108362.12000000017
2012-10-10,1240659.2599999704,92504.39999999998
2012-10-11,1426089.82999996,98808.79000000031
2012-10-12,1632339.9799999865,117512.90000000001
2012-10-15,1408855.549999968,98862.78000000013
2012-10-16,1472465.4699999606,105892.7600000002
2012-10-17,1576441.3199999623,109338.48000000005
2012-10-18,1375042.2699999637,95812.35000000005
2012-10-19,1921336.2099999909,138583.62
2012-10-22,1225686.299999978,88754.8200000002
2012-10-23,1214988.5099999786,90224.03000000001
2012-10-24,1471443.6299999633,105617.45000000006
2012-10-25,1270153.2999999702,88441.01000000033
2012-10-26,1846024.4199999913,131489.9
2012-10-29,1204271.269999973,87904.86000000009
2012-10-30,1197675.4399999806,87215.42000000003
2012-10-31,931294.9299999914,69339.2399999999
2012-11-01,1023250.7899999894,69731.69999999998
2012-11-02,198.0,12.0
2012-11-05,1080014.8699999866,76171.09000000007
2012-11-06,1170085.0299999763,84099.02000000014
2012-11-07,1092897.38999998,79536.02000000008
2012-11-08,1271036.6699999692,84827.59000000024
2012-11-12,1202868.1299999787,85764.42000000011
2012-11-13,1122437.7199999776,83105.2200000001
2012-11-14,1088524.7799999837,78847.07999999997
2012-11-15,1364466.9999999655,88741.72000000029
2012-11-16,856903.9199999942,63509.890000000036
2012-11-17,1080276.969999982,79022.54999999997
2012-11-19,1062086.3699999857,71429.45999999998
2012-11-20,1087900.6599999848,72796.05999999998
2012-11-21,47406.08000000002,3164.9799999999996
2012-11-26,1439202.8299999528,97697.3700000001
2012-11-27,1440212.3199999589,96951.75000000019
2012-11-28,1075135.339999988,76023.41999999994
2012-11-29,1273610.0499999586,85304.92000000007
2012-12-03,1487537.789999968,99461.81000000008
2012-12-04,1190413.4599999697,85416.46999999997
2012-12-05,1017236.9099999849,72466.15000000002
2012-12-06,1270931.9599999625,82749.2300000003
2012-12-10,1528430.6499999557,105308.91000000024
2012-12-11,1559674.0999999542,107777.39000000014
2012-12-12,1745332.6099999526,118635.35
2012-12-13,1536578.919999951,93673.89000000014
2012-12-14,1912.8400000000001,119.25
2012-12-17,1696519.5899999377,107161.60000000011
2012-12-18,1660066.1999999273,114857.98000000029
2012-12-19,1528877.3199999414,104192.65000000001
2012-12-20,1552564.6299999421,102420.6500000001
2012-12-21,1217195.6999999753,80943.28000000007
2012-12-24,1634365.6799999294,113324.30000000024
2012-12-26,1266270.919999949,87370.25000000003
2012-12-27,1602321.5899999272,103320.74000000015
2012-12-28,1360166.7599999562,90888.45000000008
2012-12-31,1208181.9999999716,82815.81000000007
2013-01-02,826293.719999985,59326.57999999996
2013-01-03,1145793.1499999799,77461.08000000002
2013-01-07,1139529.5599999733,82527.54
2013-01-08,1042754.6099999758,76871.01999999995
2013-01-09,818801.3999999935,61946.50999999998
2013-01-10,945299.619999992,67325.34000000001
2013-01-14,1036500.5699999867,78515.37999999999
2013-01-15,943113.2399999878,73026.78999999995
2013-01-16,849009.2799999906,67745.44999999998
2013-01-17,1018633.4999999923,74325.65000000007
2013-01-21,992762.04999999,75748.13000000005
2013-01-22,1020890.6599999886,77895.62999999992
2013-01-23,886708.3199999854,68469.29999999993
2013-01-24,1118493.5099999774,79285.94000000012
2013-01-25,1974.0,54.0
2013-01-28,1073388.0999999805,80572.37000000014
2013-01-29,1053056.8799999787,82054.79000000004
2013-01-30,851115.1599999885,65780.04999999994
2013-01-31,1074732.7899999851,77157.28000000017
2013-02-04,1173355.4999999716,86907.38000000009
2013-02-05,1176898.519999967,89497.13000000021
2013-02-06,979188.5399999849,75177.56999999999
2013-02-07,1284407.05999996,87011.78000000019
2013-02-08,1130.88,72.0
2013-02-11,1111755.5099999767,77471.62000000007
2013-02-12,1139808.4299999736,83978.45000000003
2013-02-13,1349704.1399999605,90794.48000000005
2013-02-14,1229363.339999977,85607.18000000012
2013-02-18,1141825.2399999807,81670.97000000016
2013-02-19,1087255.5699999763,78033.49000000015
2013-02-20,862261.3699999833,65422.57000000002
2013-02-21,1183853.759999968,79678.20000000011
2013-02-22,2105.56,154.5
2013-02-25,1203117.019999965,86802.11000000009
2013-02-26,1168684.769999967,90498.40000000015
2013-02-27,1028803.9499999833,81192.68999999999
2013-02-28,1135086.539999976,80284.10000000003
2013-03-04,1203606.7999999642,85536.31000000011
2013-03-05,1184093.9399999657,85978.03000000006
2013-03-06,882481.1999999882,64339.529999999875
2013-03-07,1273253.619999966,86481.29000000018
2013-03-11,1227524.1099999668,85166.44000000013
2013-03-12,1304245.1699999585,90838.36000000013
2013-03-13,1094880.5799999782,75097.6900000001
2013-03-14,1330232.4799999485,91372.15000000027
2013-03-15,6838.92,315.0
2013-03-18,1157228.5099999718,85266.90999999996
2013-03-19,1086065.5099999758,79213.12000000017
2013-03-20,936591.9899999896,71335.59000000014
2013-03-21,1127906.0999999824,77300.81000000007
2013-03-25,1183278.1199999754,84788.60000000003
2013-03-26,1124207.179999982,84562.92000000007
2013-03-27,962504.8599999875,72410.8300000001
2013-03-28,1136604.4499999785,78129.29000000012
2013-04-01,1208604.3699999743,90009.08000000023
2013-04-02,1299789.3199999642,98965.59000000019
2013-04-03,920394.2099999868,72647.75999999997
2013-04-04,1293669.399999961,96103.47000000022
2013-04-08,1383419.9999999544,103829.73000000008
2013-04-09,1415541.3299999537,111338.7400000004
2013-04-10,1235589.9899999762,98926.30000000008
2013-04-11,1322607.0999999545,91649.59000000019
2013-04-15,1173363.039999974,86062.78000000006
2013-04-16,1195489.3999999722,90709.99000000035
2013-04-17,871369.9699999872,67128.00999999994
2013-04-18,1209664.089999972,87611.87000000024
2013-04-19,922.3200000000002,55.199999999999996
2013-04-22,1287994.9099999606,93518.88000000021
2013-04-23,1124117.249999978,82885.11000000019
2013-04-24,943615.379999988,73558.78999999996
2013-04-25,1365051.069999966,98010.0200000003
2013-04-29,1532049.7399999513,109790.6600000001
2013-04-30,1378787.799999955,103753.66000000031
2013-05-01,978562.829999979,74571.01999999995
2013-05-02,1211796.7899999653,89796.95000000023
2013-05-03,847.44,132.0
2013-05-06,1278555.589999958,99157.97000000018
2013-05-07,1405943.889999955,111805.10000000036
2013-05-08,1294787.1799999666,96493.36000000007
2013-05-09,1242454.0899999654,90976.9100000002
2013-05-10,4228.8,240.0
2013-05-13,1275603.0599999535,95085.7100000001
2013-05-14,1251087.5699999575,96184.36000000022
2013-05-15,978561.6699999777,77091.41999999997
2013-05-16,1264035.2899999642,93800.25000000029
2013-05-20,1258532.209999959,95478.70000000008
2013-05-21,1416032.0099999486,106728.3800000001
2013-05-22,1093872.0199999684,86789.64000000009
2013-05-23,1391595.1999999504,99056.72000000053
2013-05-24,20809.680000000004,1375.1
2013-05-28,1370582.839999956,97310.62000000008
2013-05-29,1370904.839999957,103820.44000000015
2013-05-30,1008996.7799999746,76359.83999999995
2013-05-31,1291534.7999999619,92609.86000000028
2013-06-03,1126741.5899999742,84604.71000000006
2013-06-04,1274891.809999964,92897.13000000022
2013-06-05,1112040.2299999725,80592.85999999994
2013-06-06,1241798.4299999655,87152.10000000031
2013-06-07,900.0,45.0
2013-06-10,1283807.659999953,91122.37000000002
2013-06-11,1207442.1599999645,89123.12000000016
2013-06-12,1060579.2099999727,79588.82000000005
2013-06-13,1151493.7399999727,81519.81
2013-06-14,941290.3299999847,73058.79999999996
2013-06-15,1036931.1399999785,76932.02000000003
2013-06-17,1019344.3399999832,73772.31999999993
2013-06-18,1151548.459999971,82221.57000000012
2013-06-21,27389.760000000028,2009.7399999999998
2013-06-22,6042.809999999998,489.1
2013-06-24,1636941.5899999272,116258.36000000036
2013-06-25,1661535.1399999238,124175.08000000044
2013-06-26,1206420.4399999634,92118.03000000007
2013-06-27,1586056.1199999377,109253.09000000029
2013-06-28,1426.14,70.5
2013-07-01,1322177.7599999483,96364.74000000021
2013-07-02,1476256.4599999425,105840.03000000007
2013-07-03,995528.44999997,75374.90000000007
2013-07-04,1152507.0299999681,81494.75000000015
2013-07-08,1352504.2499999502,95794.97000000023
2013-07-09,991924.9899999752,75295.30000000009
2013-07-10,1463348.929999931,108883.54000000015
2013-07-11,1201377.0099999667,85718.77000000015
2013-07-15,1365678.1699999506,98059.82000000027
2013-07-16,1099477.4799999648,84822.06
2013-07-17,967307.2099999799,69961.05000000005
2013-07-18,1052865.119999978,75396.28000000012
2013-07-19,1096.08,114.0
2013-07-22,1276648.5799999528,95141.32
2013-07-23,942055.4199999744,73568.7699999999
2013-07-24,1175363.7299999609,88098.25000000012
2013-07-25,941116.0099999858,66680.97000000006
2013-07-29,1590140.8999999408,111992.2100000003
2013-07-30,976905.6299999738,77194.16000000003
2013-07-31,1293367.3799999491,97739.68000000031
2013-08-01,1008882.9699999834,69503.96000000004
2013-08-02,399.18,16.5
2013-08-05,1567227.62999995,111737.30000000012
2013-08-06,1082242.1299999724,85263.24999999999
2013-08-07,1320990.469999964,97006.92000000013
2013-08-08,1111816.119999981,78103.2500000001
2013-08-12,1492418.0399999581,112709.52000000028
2013-08-13,1107802.079999969,86683.07000000005
2013-08-14,1245167.7499999695,97260.72000000016
2013-08-15,1042621.9099999836,70894.3900000001
2013-08-16,18157.21000000001,1215.17
2013-08-19,1492890.419999953,104948.46000000041
2013-08-20,1012086.6099999762,72284.71000000004
2013-08-21,1292550.5299999597,92085.82000000015
2013-08-22,1061597.4699999874,75631.04000000014
2013-08-26,1690067.3799999438,125781.44000000031
2013-08-27,1029494.6199999732,76047.22
2013-08-28,1550064.4099999384,108299.50000000026
2013-08-29,1415632.7099999667,93539.80000000015
2013-08-30,10709.99,792.91
2013-09-03,1466300.9099999531,104043.59000000021
2013-09-04,1072614.5599999728,83428.79000000012
2013-09-05,1395236.1199999594,104586.3300000002
2013-09-06,847396.5399999918,61338.779999999984
2013-09-09,1450973.5899999547,103902.6000000002
2013-09-10,837108.1599999825,64781.329999999965
2013-09-11,1143729.9499999753,83463.4200000002
2013-09-12,979188.0199999887,67595.25999999997
2013-09-16,1295256.9999999716,90434.68000000021
2013-09-17,925406.509999982,70792.84
2013-09-18,1140703.909999976,84700.04000000005
2013-09-19,947288.7099999884,67586.4500000001
2013-09-20,3135.7400000000002,291.97
2013-09-23,1282532.2599999725,90063.63000000015
2013-09-24,838238.0599999842,63743.16999999992
2013-09-25,1168762.0799999728,83275.42000000009
2013-09-26,933662.3799999916,65828.69999999998
2013-09-30,1399158.3199999644,99558.98000000007
2013-10-01,1093396.8099999796,85634.30999999997
2013-10-02,1780246.2399999555,135873.96
2013-10-03,1537076.2099999571,109657.01000000024
2013-10-04,3516318.049999975,244918.85000000003
2013-10-07,1888585.0399999532,139714.27000000016
2013-10-08,893795.229999984,66436.93000000001
2013-10-09,1276530.3499999663,90919.64000000025
2013-10-10,1320976.6499999703,86577.88000000015
2013-10-11,3278998.0099999714,209271.45
2013-10-14,1901715.599999941,112211.32000000018
2013-10-15,1191654.659999976,84246.27000000002
2013-10-16,1614926.3999999487,113492.53000000017
2013-10-17,1113172.5099999823,69635.88000000006
2013-10-21,1426510.4099999648,100653.97000000019
2013-10-22,1006044.1799999829,73562.73000000005
2013-10-23,1386542.7799999625,96908.7900000001
2013-10-24,1103631.4399999862,75515.88000000006
2013-10-25,9224.089999999997,439.12
2013-10-28,1425526.5299999665,99045.47000000023
2013-10-29,955399.1999999814,73030.01000000005
2013-10-30,1255024.0099999616,90145.8300000002
2013-10-31,1170517.0399999802,83467.68000000014
2013-11-01,4915.570000000001,337.89000000000004
2013-11-04,1337658.9699999765,94036.62000000013
2013-11-05,798777.6699999947,60826.24000000001
2013-11-06,1124708.0699999887,81156.44000000018
2013-11-07,1070998.3099999947,70404.3700000001
2013-11-08,17593.879999999997,1065.71
2013-11-11,1331748.7299999776,91694.6000000002
2013-11-12,878396.9199999922,63959.259999999886
2013-11-13,1429341.3399999659,99967.99000000035
2013-11-14,1006630.5699999956,69296.41
2013-11-15,5193.569999999999,281.95
2013-11-18,1525358.4299999718,105046.91000000027
2013-11-19,1008896.6999999855,75084.71000000004
2013-11-20,1290716.0399999768,92163.11000000026
2013-11-21,1158050.3899999883,77503.09000000016
2013-11-22,933165.079999992,64978.36999999997
2013-11-23,671281.8799999966,50946.83999999999
